ID,City,Latitude,Longitude,Country,State
5881639,100 Mile House,51.64982,-121.28594,CA,2
5881791,Abbotsford,49.05798,-122.25257,CA,2
5882142,Acton Vale,45.65007,-72.56582,CA,10
5882428,Adstock,46.05007,-71.08235,CA,10
5882534,Agassiz,49.23298,-121.76926,CA,2
5882600,Agincourt North,43.80418,-79.27528,CA,8
5882799,Airdrie,51.30011,-114.03528,CA,1
5882873,Ajax,43.85012,-79.03288,CA,8
5882953,Aklavik,68.21913,-135.01071,CA,13
5883074,Albanel,48.88324,-72.44867,CA,10
5883166,Alberton,46.81685,-64.06542,CA,9
5883345,Alderwood,43.60348,-79.54604,CA,8
5883353,Aldouane,46.63343,-65.06544,CA,4
5884051,Alliston,44.15011,-79.86635,CA,8
5884083,Alma,48.55009,-71.6491,CA,10
5884260,Altona,49.10469,-97.55961,CA,3
5884467,Amherst,45.83345,-64.19874,CA,7
5884472,Amherstburg,42.10009,-83.09985,CA,8
5884497,Amigo Beach,44.6919,-79.39317,CA,8
5884588,Amos,48.56688,-78.11624,CA,10
5885150,Ange-Gardien,45.35008,-72.93244,CA,10
5885280,Angus,44.31681,-79.88295,CA,8
5885383,Anmore,49.31637,-122.85263,CA,2
5886139,Anten Mills,44.4815,-79.81722,CA,8
5886182,Antigonish,45.61685,-61.99858,CA,7
5886586,Arbutus Ridge,49.24966,-123.16934,CA,2
5886735,Arctic Bay,73.03752,-85.15057,CA,14
5887048,Armstrong,50.44979,-119.20235,CA,2
5887214,Arnprior,45.43341,-76.34939,CA,8
5887470,Asbestos,45.76678,-71.9324,CA,10
5887531,Ashcroft,50.72372,-121.28207,CA,2
5887798,Assiniboia,49.63336,-105.98446,CA,11
5887916,Athabasca,54.71687,-113.28537,CA,1
5887942,Athens,44.63341,-75.94936,CA,8
5888001,Atikokan,48.75667,-91.62409,CA,8
5888118,Attawapiskat,52.92774,-82.41669,CA,8
5888377,Aurora,44.00011,-79.46632,CA,8
5888716,Aylmer,42.76679,-80.98302,CA,8
5888759,Azilda,46.55008,-81.09975,CA,8
5889745,Baie-Comeau,49.21679,-68.14894,CA,10
5890542,Baie-D'Urfé,45.41397,-73.91586,CA,10
5892205,Ballantrae,44.03342,-79.2996,CA,8
5892510,Bancroft,45.05752,-77.85702,CA,8
5892532,Banff,51.17622,-115.56982,CA,1
5894033,Barraute,48.43349,-77.63279,CA,10
5894164,Barrhead,54.13345,-114.40211,CA,1
5894171,Barrie,44.40011,-79.66634,CA,8
5894188,Barrière,51.18308,-120.1192,CA,2
5894642,Bassano,50.78998,-112.46805,CA,1
5894924,Bath,44.18342,-76.78273,CA,8
5895424,Bay Roberts,47.59989,-53.26478,CA,5
5895446,Bay St. George South,48.22781,-58.84162,CA,5
5895482,Bayview Village,43.77639,-79.38028,CA,8
5895650,Beaconsfield,45.43341,-73.86586,CA,10
5896495,Beauharnois,45.31341,-73.8725,CA,10
5896522,Beaumont,53.35013,-113.41871,CA,1
5896549,Beausejour,50.0622,-96.51669,CA,3
5896969,Beaverlodge,55.21664,-119.43605,CA,1
5897209,Bécancour,46.34106,-72.43224,CA,10
5897323,Bedford,45.11678,-72.98244,CA,10
5897681,Belfast,46.08341,-62.88197,CA,9
5897884,Belleville,44.16682,-77.38277,CA,8
5898070,Bells Corners,45.31588,-75.83012,CA,8
5898124,Belmont,42.88339,-81.08303,CA,8
5898138,Beloeil,45.56839,-73.20568,CA,10
5898265,Bendale,43.76681,-79.25326,CA,8
5899017,Berthierville,46.08336,-73.18245,CA,10
5899061,Berwick,45.05015,-64.73208,CA,7
5899982,Biggar,52.05978,-107.98844,CA,11
5901272,Binbrook,43.12135,-79.81104,CA,8
5902458,Black Diamond,50.68771,-114.23241,CA,1
5902599,Blackfalds,52.38342,-113.7853,CA,1
5903356,Blackstock,44.10012,-78.81626,CA,8
5903510,Blainville,45.66678,-73.88249,CA,10
5903593,Blaketown,47.4832,-53.5648,CA,5
5903997,Bloomfield,48.3832,-53.8981,CA,5
5904501,Bluewater,43.46679,-81.59977,CA,8
5905132,Boisbriand,45.61678,-73.83249,CA,10
5905152,Bois-des-Filion,45.66678,-73.74918,CA,10
5905191,Boissevain,49.23062,-100.05586,CA,3
5905348,Bon Accord,53.83345,-113.41872,CA,1
5905393,Bonavista,48.64989,-53.11474,CA,5
5905616,Bonnyville,54.26684,-110.73505,CA,1
5906129,Bothwell,42.63339,-81.86648,CA,8
5906229,Botwood,49.14994,-55.34819,CA,5
5906267,Boucherville,45.59104,-73.43605,CA,10
5906281,Bouctouche,46.46844,-64.73905,CA,4
5906575,Bourget,45.43475,-75.16028,CA,8
5906634,Boutiliers Point,44.66569,-63.95055,CA,7
5906690,Bowen Island,49.3847,-123.33622,CA,2
5906757,Bow Island,49.86676,-111.36843,CA,1
5907092,Bracebridge,45.03341,-79.31633,CA,8
5907364,Brampton,43.68341,-79.76633,CA,8
5907896,Brandon,49.84692,-99.95306,CA,3
5907983,Brant,43.1334,-80.34967,CA,8
5907990,Brantford,43.1334,-80.26636,CA,8
5908723,Bridgewater,44.37856,-64.51882,CA,7
5909294,Brockville,44.59132,-75.68705,CA,8
5909403,Bromont,45.31678,-72.64912,CA,10
5909514,Brooks,50.58341,-111.88509,CA,1
5909629,Brossard,45.45008,-73.46583,CA,10
5909969,Brownsburg-Chatham,45.68342,-74.4159,CA,10
5910322,Brussels,43.74316,-81.24998,CA,8
5911433,Burford,43.10292,-80.42869,CA,8
5911440,Burgeo,47.61668,-57.61516,CA,5
5911592,Burlington,43.38621,-79.83713,CA,8
5911606,Burnaby,49.26636,-122.95263,CA,2
5911745,Burns Lake,54.22972,-125.76084,CA,2
5913035,Cache Bay,46.36679,-79.98297,CA,8
5913049,Cache Creek,50.81011,-121.3246,CA,2
5913174,Caesarea,44.15012,-78.83286,CA,8
5913490,Calgary,51.05011,-114.08529,CA,1
5913601,Calmar,53.26683,-113.81874,CA,1
5913628,Calumet,45.65148,-74.63536,CA,10
5913695,Cambridge,43.3601,-80.31269,CA,8
5913934,Camlachie,43.03596,-82.1616,CA,8
5914132,Campbell River,50.01634,-125.24459,CA,2
5914273,Camperville,51.98832,-100.14365,CA,3
5914653,Camrose,53.01684,-112.83525,CA,1
5914826,Candiac,45.38338,-73.51587,CA,10
5914894,Canmore,51.08335,-115.35206,CA,1
5915098,Canora,51.63328,-102.43425,CA,11
5915148,Cantley,45.5668,-75.78265,CA,10
5915359,Cap-Chat,49.09736,-66.68514,CA,10
5916567,Capreol,46.70626,-80.92109,CA,8
5916706,Carberry,49.86893,-99.36021,CA,3
5916722,Carbonear,47.73919,-53.2272,CA,5
5916821,Cardston,49.19998,-113.3019,CA,1
5917117,Carignan,45.45008,-73.29916,CA,10
5917158,Carleton Place,45.13341,-76.14938,CA,8
5917262,Carlyle,49.63334,-102.26765,CA,11
5917275,Carman,49.4992,-98.00156,CA,3
5917349,Carnduff,49.17379,-101.79633,CA,11
5917430,Caronport,50.45006,-105.81787,CA,11
5917605,Carrot River,53.28337,-103.58423,CA,11
5917688,Carstairs,51.56681,-114.102,CA,1
5918021,Casselman,45.3168,-75.0826,CA,8
5918040,Cassidy,49.04963,-123.886,CA,2
5918118,Castlegar,49.32317,-117.65831,CA,2
5918243,Catalina,48.51659,-53.08135,CA,5
5918767,Cedar,49.11633,-123.8527,CA,2
5919566,Chambly,45.45008,-73.28246,CA,10
5919569,Chambord,48.43339,-72.06583,CA,10
5919815,Channel-Port aux Basques,47.57286,-59.13808,CA,5
5919850,Chapais,49.78344,-74.84919,CA,10
5920089,Charlemagne,45.71678,-73.48247,CA,10
5920288,Charlottetown,46.23459,-63.1256,CA,9
5920381,Chase,50.8165,-119.68571,CA,2
5920433,Châteauguay,45.38338,-73.74919,CA,10
5920457,Chatham,42.41224,-82.18494,CA,8
5920668,Chemainus,48.91633,-123.71937,CA,2
5920996,Chertsey,46.07109,-73.89095,CA,10
5921028,Chester,44.54225,-64.23891,CA,7
5921060,Chestermere,51.03341,-113.81867,CA,1
5921091,Chetwynd,55.69988,-121.63627,CA,2
5921147,Chibougamau,49.91684,-74.36586,CA,10
5921356,Chilliwack,49.16638,-121.95257,CA,2
5922281,Chute-aux-Outardes,49.11679,-68.39896,CA,10
5923101,Clarence-Rockland,45.5501,-75.29101,CA,8
5923119,Clarenville-Shoal Harbour,48.1805,-53.96982,CA,5
5923125,Claresholm,50.03332,-113.58524,CA,1
5923921,Cliffcrest,43.72192,-79.23091,CA,8
5924041,Clinton,51.08309,-121.58597,CA,2
5924351,Clyde River,70.47233,-68.58987,CA,14
5924417,Coaldale,49.7167,-112.61854,CA,1
5924428,Coalhurst,49.7464,-112.93246,CA,1
5924500,Coaticook,45.13339,-71.79907,CA,10
5924579,Cobourg,43.95977,-78.16515,CA,8
